"comment","id","location","location2","sticker","conditiontext","haspartslist","wantpartslist","collid","baverage","average","avgweight","rank","numowned","objecttype","originalname","minplayers","maxplayers","playingtime","maxplaytime","minplaytime","yearpublished","bggrecplayers","bggbestplayers","bggrecagerange","bgglanguagedependence","publisherid","imageid","year","language","other","itemtype","barcode","pricepaid","pp_currency","currvalue","cv_currency","acquisitiondate","acquiredfrom","quantity","privatecomment","invlocation","invdate","version_publishers","version_languages","version_yearpublished","version_nickname"
"It's a Wonderful Kingdom","327711","","","","","","","110657412","645.752","720.855","26.216","1303","7263","thing","It's a Wonderful Kingdom","1","2","45","45","45","2021","1,2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ja, Herr und Meister! Rote Edition","18723","","","","","","","110488417","564.961","584.454","12.812","6747","6055","thing","Aye, Dark Overlord! The Red Box","4","16","30","30","30","2015","4,5,6,7,8","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Truant Spiele","German","2015","German edition 2015"
"Jaipur","54043","","","","","","","110657248","737.201","748.627","14.624","183","81626","thing","Jaipur","2","2","30","30","30","2009","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jaws","7563","","","","","","","110494004","546.064","490.769","11.667","25630","140","thing","Jaws","2","4","45","45","45","1975","2,3,2004","2","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jekyll vs. Hyde","297129","","","","","","","117427413","662.843","725.181","18.511","975","7290","thing","Jekyll vs. Hyde","2","2","30","30","30","2021","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jenga","2452","","","","","","","110663999","557.222","564.818","11.036","10000","30021","thing","Jenga","1","8","20","20","20","1983","2,3,4,5,6","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jenga: Tetris","145259","","","","","","","110687578","54.403","494.551","12.857","25980","813","thing","Jenga: Tetris","1","99","20","20","20","2013","2,3,4,5,6,7,8,9","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jonathan Eaton's Houses of Treasure: Ascalons Fury","351677","","","","","","","110497907","550.944","582.041","2","19775","221","thing","Jonathan Eaton's Houses of Treasure: Ascalons Fury","1","4","120","120","90","2021","1,2,3,4","1","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Jungle Speed","8098","","","","","","","113595075","626.108","646.352","11.317","1807","21885","thing","Jungle Speed","2","10","10","10","10","2020","3,4,5,6,7,8,10","5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Asmodee","German","2020","German ""eco pack"" edition"
"Junk Art","193042","","","","","","","110493381","693.753","736.836","1.21","535","11415","thing","Junk Art","2","6","30","30","30","2016","2,3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Just One","254640","","","","","","","110493097","743.421","760.046","10.385","146","46157","thing","Just One","3","7","60","60","20","2018","4,5,6,7","6,7","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Just4Fun Colors","66590","","","","","","","112784971","548.215","538.814","1.069","24589","203","thing","Just4Fun Colours","2","4","15","15","15","2010","2,3,2004","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2010","German edition"
"K2","73761","","","","","","","110595519","673.735","701.142","22.496","798","11313","thing","K2","1","5","60","60","60","2010","1,2,3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kakerlakenpoker","11971","","","","","","","110492698","6.593","679.446","11.031","1039","23397","thing","Cockroach Poker","2","6","20","20","20","2016","3,4,5,6","5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Drei Magier Spiele","Dutch  English  French  German  Italian","2016","Multilingual edition (million-selling logo)"
"Kamisado","38545","","","","","","","110660023","627.957","694.951","23.731","1750","3601","thing","Kamisado","2","2","20","20","20","2008","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kampf gegen das Spiessertum","238221","","","","","","","110492658","559.843","676.808","1","8492","492","thing","Kampf gegen das Spiessertum","3","10","500","500","30","2017","4,5,6,7","6","16+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Karak","241477","","","","","","","110494578","639.116","71.942","13.223","1456","6629","thing","Karak","2","5","45","45","45","2017","2,3,4,5","3,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Der Kartograph: Ein Spiel im Roll Player Universum","263918","","","","","","","110658347","742.785","760.409","18.786","148","50954","thing","Cartographers","1","100","45","45","30","2019","1,2,3,4,5,6,7,8,9","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Pegasus Spiele  Thunderworks Games","German","2019","German edition 2019"
"Keep the Heroes Out!","333255","","","","","","","117978925","68.149","79.832","24.576","681","6139","thing","Keep the Heroes Out!","1","4","40","40","40","2022","1,2,2003","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Keltis: Der Weg der Steine Mitbringspiel","41003","","","","","","","110496652","586.866","643.875","12.547","3758","2166","thing","Keltis: Der Weg der Steine Mitbringspiel","2","4","15","15","15","2009","2,3,2004","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"King of Tokyo: Monster Box","336755","","","","","","","110490461","620.867","775.668","13.571","0","3208","thing","King of Tokyo: Monster Box","2","6","30","30","30","2021","3,4,5,6","4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdom Builder","107529","","","","","","","113344351","679.697","694.087","20.608","697","29453","thing","Kingdom Builder","2","4","45","45","45","2012","2,3,2004","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Queen Games","German","2012","German second edition"
"Kingdomino","204583","","","","","","","110595631","719.106","730.811","12.236","288","80390","thing","Kingdomino","2","4","25","25","15","2016","2,3,2004","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingsbridge: The Game","341465","","","","","","","110494620","549.605","548.414","1.6","22803","202","thing","Kingsbridge: The Game","1","5","20","20","20","2021","1,2,2003","1,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Kinoko","348072","","","","","","","111288741","557.128","657.656","1","10069","462","thing","Kinoko","2","4","20","0","20","2022","2,3,2004","2,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Helvetiq","Dutch  English  French  German  Italian  Spanish","2022","EN/FR/GE/IT/NL/SP edition"
"Kitchen Rush","223953","","","","","","","110658933","6.628","724.281","21.905","976","6688","thing","Kitchen Rush","1","4","45","45","30","2017","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"KLASK","165722","","","","","","","110488392","725.637","763.559","10.564","248","14702","thing","KLASK","2","2","10","10","10","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kleinanzeigen","305678","","","","","","","111243365","0","5.5","1","0","11","thing","Kleinanzeigen","2","0","15","0","15","2018","","","12+","","","","","","","standalone","","","","","","","","","","","","MeterMorphosen","German","2018","German edition"
"Klong!: Ein Deckbau-Abenteuer","201808","","","","","","","110494098","761.641","777.842","22.245","81","55414","thing","Clank!: A Deck-Building Adventure","2","4","60","60","30","2017","2,3,2004","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Schwerkraft-Verlag","German","2017","German first edition"
"Kluster","277458","","","","","","","117745078","6.128","666.368","10.143","2319","6352","thing","Kluster","1","4","20","20","10","2018","2,3,2004","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kneipenquiz: Das Original","204801","","","","","","","110836197","60.999","73.855","14.828","2428","1965","thing","Kneipenquiz: Das Original","3","6","40","40","30","2016","3,4,5,6","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Kneipenquiz: Fußball-Spezial","300033","","","","","","","110495782","553.211","725.676","2","14454","107","thing","Kneipenquiz: Fußball-Spezial","0","0","0","0","0","2020","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Krass Kariert","243430","","","","","","","110497695","621.318","705.987","1.4","1977","3192","thing","Dealt!","3","5","30","30","30","2018","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","AMIGO","German","2018","German edition"
"Krazy Wordz","231962","","","","","","","110657117","591.466","721.136","1.25","3429","1370","thing","Krazy Wordz","3","7","45","45","45","2016","4,5,6,7","5,6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Kriss Kross","220988","","","","","","","110657272","573.024","655.081","10.667","5221","1494","thing","Criss Cross","1","6","10","10","10","2017","1,2,3,4,5,6","2,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","moses. Verlag GmbH","German","2017","German edition 2017"
"Krosmaster: Arena","112138","","","","","","","111435525","621.906","670.669","26.778","1953","7724","thing","Krosmaster: Arena","2","4","60","60","45","2014","2,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Pegasus Spiele","German","2014","German second edition"
"Kuhhandel","1117","","","","","","","113206523","61.943","657.843","16.287","2037","7755","thing","You're Bluffing!","3","5","45","45","45","2016","3,4,2005","5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ravensburger","German","2016","Ravensburger German edition 2016"
"L.A.M.A. Party Edition","313473","","","","","","","110497685","5.939","697.055","10.435","3268","1978","thing","L.A.M.A. Party Edition","2","6","20","20","20","2020","3,4,5,6","5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"L.L.A.M.A.","266083","","","","","","","110492612","626.152","649.028","10.524","1804","14272","thing","L.L.A.M.A.","2","6","20","20","20","2019","3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Labyrinth","1219","","","Super Mario Edition!","","","","110586983","623.191","640.699","13.448","1906","28714","thing","Labyrinth","2","4","20","20","20","1986","2,3,2004","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Last One Laughing: Das Spiel","392109","","","","","","","111762606","0","441.111","1","0","45","thing","Last One Laughing: Das Spiel","3","8","20","20","20","2023","","","","","","","","","","standalone","","","","","","","","","","","","Ravensburger","German","2023","German edition"
"LEADERS: The Combined Strategy Game","141418","","","","","","","112908448","557.879","665.569","26.667","9577","660","thing","LEADERS: The Combined Strategy Game","2","6","180","180","120","2018","3,4,2005","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Rudy Games","English  German","2018","Second edition"
"Die Legenden von Andor","127398","","","","","","","116254505","68.933","711.588","27.629","585","33746","thing","Legends of Andor","2","4","90","90","60","2016","1,2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2016","German third edition"
"Letter Jam","275467","","","","","","","110933277","668.195","718.634","19.762","896","8819","thing","Letter Jam","2","6","45","45","45","2019","3,4,5,6","6","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Lexicon-Go","254752","","","","","","","112801532","0","512.727","0","0","154","thing","Lexicon-Go","2","4","20","20","10","2017","","","","","","","","","","standalone","","","","","","","","","","","","Winning Moves UK Ltd.","English","2017","First edition"
"Ligretto","943","","","","","","","110488532","593.003","620.014","11.716","3321","9975","thing","Ligretto","2","4","10","10","10","1988","3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ligretto","943","","","","","","","111778886","593.003","620.014","11.716","3321","9975","thing","Ligretto","2","4","10","10","10","1988","3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Living Forest","328479","","","","","","","110492849","6.779","727.157","21.888","723","9946","thing","Living Forest","1","4","40","40","40","2021","2,3,2004","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Llamaland","330038","","","","","","","110495999","638.922","730.437","2.02","1466","4182","thing","Llamaland","2","4","45","45","45","2021","2,3,2004","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Loading","329293","","","","","","","110497550","55.402","638.196","1.2","13064","335","thing","Loading","2","7","5","5","5","2021","3,4,5,6,7","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Loopin' Louie","327","","","","","","","110586958","650.207","674.471","10.526","1206","12213","thing","Loopin' Louie","2","4","10","10","10","1992","2,4","4","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Cities","50","","","","","","","110658048","713.467","723.797","1.478","330","67601","thing","Lost Cities","2","2","30","30","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Ruins of Arnak","312484","","","","","","","116412883","789.723","80.757","2.914","29","66305","thing","Lost Ruins of Arnak","1","4","120","120","30","2020","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Seas","353543","","","","","","","116131382","577.125","676.145","17.059","4666","498","thing","Lost Seas","2","4","30","30","20","2022","2,3,2004","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lotti Karotti: Das Hasenrennen","171626","","","","","","","117071518","548.171","520.521","1","24635","367","thing","Lotti Karotti: Das Hasenrennen","2","4","15","15","15","2015","2,3,2004","4","3–8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lotto","11028","","","","","","","110491157","525.152","375.046","12.308","26381","597","thing","Lotto","2","48","30","30","30","1530","2,3,4,5,6","6","3+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter","129622","","","","","","","110658307","71.275","722.555","11.845","337","110953","thing","Love Letter","2","4","20","20","20","2012","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"LUNA Capital","323613","","","","","","","110495588","617.142","714.629","2.25","2126","3776","thing","LUNA Capital","1","4","45","45","45","2021","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mac Robber","16500","","","","","","","112788760","55.023","553.184","2.129","21522","1121","thing","Highland Clans","3","5","60","60","45","2005","3,4,2005","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games","German","2005","German first edition"
"Machi Koro","143884","","","","","","","110489492","649.103","660.292","15.266","1227","54106","thing","Machi Koro","2","4","30","30","30","2012","2,3,2004","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Magic Labyrinth","41916","","","","","","","110593780","643.704","681.138","12.174","1354","11535","thing","The Magic Labyrinth","2","4","30","30","20","2009","2,3,2004","3,4","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Magic Maze","209778","","","","","","","110658419","680.019","69.574","17.527","693","33841","thing","Magic Maze","1","8","15","15","15","2017","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Magnastorm","257067","","","","","","","110959228","590.731","677.343","31.455","3473","2241","thing","Magnastorm","2","4","100","100","70","2018","2,3,2004","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Magnefix","313858","","","","","","","110498912","551.203","609.512","1","19108","92","thing","Magnefix","2","4","15","15","15","2020","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Malefiz","2322","","","","","","","110656265","544.902","545.761","12.039","25862","2580","thing","Malefiz","2","6","60","60","60","1960","2,3,2004","3,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Man muss auch gönnen können","297895","","","","","","","110489313","597.925","677.203","20.909","3004","2917","thing","Divvy Dice","1","4","30","30","30","2020","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","German","2020","German edition"
"Manhattan","199","","","","","","","110496327","639.006","673.115","19.238","1461","8158","thing","Manhattan","2","4","45","45","45","1994","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"MANTIS","358690","","","","","","","118546624","596.675","673.222","10.286","3078","3977","thing","MANTIS","2","6","10","10","10","2022","2,3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Marrakech","29223","","","","","","","110593874","633.108","669.728","13.455","1603","6376","thing","Marrakech","2","4","30","30","30","2007","2,3,2004","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game","285774","","","","","","","110489063","779.885","812.403","29.283","41","40150","thing","Marvel Champions: The Card Game","1","4","90","90","45","2019","1,2,2003","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Marvel Dice Masters: The Amazing Spider-Man","177939","","","","","","","112783879","591.608","730.321","2.1","3418","1930","thing","Marvel Dice Masters: The Amazing Spider-Man","2","2","60","60","60","2015","2","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","WizKids (I)","English","2015","First edition"
"Marvel United","298047","","","","","","","110491178","7.18","758.002","18.053","298","23820","thing","Marvel United","1","4","40","40","40","2020","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Master Builders of Cologne","350779","","","","","","","110686217","0","647.727","1.5","0","59","thing","The Master Builders of Cologne","2","4","90","90","40","2021","3,4","3","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Master Labyrinth","437","","","","","","","110959284","592.422","628.937","17.789","3365","5524","thing","Master Labyrinth","2","4","30","30","20","1991","2,3,2004","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Master Word","302734","","","","","","","110933265","585.822","675.009","14.783","3842","1649","thing","Master Word","3","6","15","15","5","2020","2,3,4,5","4","12","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"maunz.","355433","","","","","","","113528845","635.881","712.385","13.556","1533","4304","thing","boop.","2","2","30","30","20","2023","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Skellig Games  Smirk & Dagger Games","German","2023","German edition"
"Die Maus: Mausefalle","25097","","","","","","","111779629","545.468","47.663","1","25769","294","thing","Die Maus: Mausefalle","2","6","15","15","15","1980","2,3,4,5","4","3–6","","","","","","","standalone","","","","","","","","","","","","","","",""
"Meadow","314491","","","","","","","110489283","732.776","774.798","2.254","208","19880","thing","Meadow","1","4","90","90","60","2021","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Memo","142399","","","","","","","111242930","0","466.667","0","0","7","thing","Memo","1","2","0","0","0","0","","","","","","","","","","standalone","","","","","","","","","","","","Invicta Games","English","0","English edition"
"Memoarrr!","230383","","","","","","","110663912","621.795","688.406","12.143","1958","4562","thing","Memoarrr!","2","4","20","20","10","2017","2,3,2004","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Memory","7688","","","","","","","110491093","503.276","476.375","11.488","26420","5657","thing","Memory","2","6","30","30","30","1959","2,3,2004","2","3–16","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"MicroMacro: Crime City","318977","","","","","","","110658444","724.381","750.282","11.104","256","31088","thing","MicroMacro: Crime City","1","4","45","45","15","2020","1,2,2003","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"MicroMacro: Crime City – Full House","338834","","","","","","","116833480","693.733","767.877","11.852","537","12956","thing","MicroMacro: Crime City – Full House","1","4","45","45","15","2021","1,2,2003","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Edition Spielwiese  Pegasus Spiele","English","2021","English edition"
"Mikado Magnetico","14617","","","","","","","110687252","549.031","4.75","1","23681","60","thing","Mikado Magnetico","2","4","0","0","0","1988","2,3","2","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mille Fiori","346501","","","","","","","110497803","673.439","743.068","21.667","802","6587","thing","Mille Fiori","2","4","90","90","60","2021","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Mind","244992","","","","","","","110493665","663.708","676.062","10.728","960","56332","thing","The Mind","2","4","20","20","20","2018","2,3,2004","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mischwald","391163","","","","","","","111779288","701.873","760.397","21.494","440","9769","thing","Forest Shuffle","2","5","60","60","40","2023","2,3,2004","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Lookout Games","German","2023","German edition"
"Mississippi Queen","256","","","","","","","110496196","60.297","631.065","1.696","2733","6474","thing","Mississippi Queen","3","5","45","45","45","1997","3,4,2005","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"MLEM: Space Agency","387378","","","","","","","117809244","630.699","720.879","16.727","1662","3421","thing","MLEM: Space Agency","2","5","60","60","30","2024","2,3,4,5","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Mole in the Hole","321","","","","","","","110496343","576.207","62.829","12.889","4779","1927","thing","The Mole in the Hole","2","4","30","30","30","1995","2,3,2004","3,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Monikers","156546","","","","","","","110586838","718.748","778.659","10.779","291","12447","thing","Monikers","4","16","60","60","30","2015","4,5,6,7,8,9,10,11,12,14","6,8,10","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Monopoly Deal Card Game","40398","","","","","","","110593923","608.089","630.089","13.232","2505","23990","thing","Monopoly Deal Card Game","2","5","15","15","15","2008","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Monopoly: Cheaters Edition","254617","","","","","","","110490858","538.856","50.349","12.857","26244","2167","thing","Monopoly: Cheaters Edition","2","6","180","180","60","2018","2,3,4,5,6","4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Monopoly: Disney","8633","","","","","","","110489335","540.074","520.657","18.571","26200","2032","thing","Monopoly: Disney","2","8","90","90","90","2001","3,4","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Monopoly: Köln","15665","","","","","","","110594975","0","455.556","0","0","32","thing","Monopoly: Köln","2","8","120","120","120","2000","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Monopoly: Stock Exchange","3065","","","","","","","110489603","550.471","573.099","22.778","20992","453","thing","Monopoly: Stock Exchange","2","6","120","120","120","2001","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Morels","122298","","","","","","","110491672","667.083","698.599","17.366","908","17129","thing","Morels","2","2","30","30","30","2012","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Munchkin","1927","","","","","","","110488686","569.304","587.197","18.089","5830","92824","thing","Munchkin","3","6","120","120","60","2001","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Murano","163413","","","","","","","118391587","637.331","717.372","27.281","1503","2891","thing","Murano","2","4","75","75","60","2014","2,3,2004","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Lookout Games","German","2014","German edition"
"My City: Roll & Build","351476","","","","","","","110492572","623.296","710.466","14.737","1901","4312","thing","My City: Roll & Build","1","6","30","30","30","2022","1,2,3,4,5,6","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"My First Stone Age","191004","","","","","","","110495775","612.003","664.168","11.324","2349","5685","thing","My First Stone Age","2","4","15","15","15","2016","2,3,2004","3,4","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"My Little Scythe","226320","","","","","","","110488824","674.423","723.913","20.083","787","12980","thing","My Little Scythe","1","6","60","60","45","2017","1,2,3,4,5,6","4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mysterium","181304","","","","","","","110488774","707.933","721.778","19.011","388","72506","thing","Mysterium","2","7","42","42","42","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mystery Games: Der Ausbruch aus Arazar","368957","","","","","","","111762282","0","8","0","0","23","thing","Mystery Games: Der Ausbruch aus Arazar","2","4","120","120","60","2023","","","","","","","","","","standalone","","","","","","","","","","","","Ravensburger","German","2023","German edition"
"Mystery House","269537","","","","","","","112908434","572.479","629.132","21.333","5296","1960","thing","Mystery House: Adventures in a Box","1","5","60","60","60","2020","1,2,2003","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","German","2020","German edition"
"The Networks","72321","","","","","","","110658800","673.728","714.982","25.935","799","10109","thing","The Networks","1","5","90","90","60","2016","1,2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"New York Zoo","300877","","","","","","","110495642","672.886","707.294","19.406","813","15900","thing","New York Zoo","1","5","60","60","30","2020","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Feuerland Spiele","German","2020","German edition"
"Next Station: London","353545","","","","","","","110685741","683.167","746.555","14.741","659","7923","thing","Next Station: London","1","4","30","30","25","2023","1,2,3,4","2,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","HCM Kinzel","German","2023","German edition with SdJ nomination logo"
"Niagara","13308","","","","","","","111779583","624.413","645.605","18.378","1864","10911","thing","Niagara","3","5","45","45","30","2005","3,4,2005","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Zoch Verlag","English  German","2005","English/German edition 2005 with SdJ"
"Nichtlustig","27837","","","","","","","117947263","545.078","520.347","12.609","25835","798","thing","Nichtlustig","2","4","30","30","30","2007","2,3,2004","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Nidavellir","293014","","","","","","","110593848","729.077","759.696","21.077","226","17698","thing","Nidavellir","2","5","45","45","45","2020","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Nobody Is Perfect","8829","","","","","","","110488341","595.287","68.191","15.645","3163","2130","thing","Nobody Is Perfect","3","10","45","45","45","1992","4,5,6,7,8,9,10","5,6,2008","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Noch mal so gut!","285894","","","","","","","110686151","618.551","722.315","18.205","2070","3808","thing","Bravo!","1","6","20","20","20","2019","1,2,3,4,5,6","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","German","2019","German edition"
"Noch mal! Deluxe","377718","","","","","","","111765990","0","714.815","0","0","108","thing","Noch mal! Deluxe","1","4","20","20","20","2023","","","","","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","German","2023","German edition"
